Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
Manuel Barbosa et al.: Bare PAKE: Universally Composable Key Exchange from Just Passwords. (2024),2024,,,,,
Longcheng Li et al.: How (not) to Build Quantum PKE in Minicrypt. (2024),2024,,,,,
Luowen Qian: Unconditionally Secure Quantum Commitments with Preprocessing. (2024),2024,,,,,
Maciej Obremski et al.: Improved Reductions from Noisy to Bounded and Probing Leakages via Hockey-Stick Divergences. (2024),2024,,,,,
Kohei Nakagawa and Hiroshi Onuki: QFESTA: Efficient Algorithms and Parameters for FESTA Using Quaternion Algebras. (2024),2024,,,,,
Maria Corte-Real Santos et al.: On Cycles of Pairing-Friendly Abelian Varieties. (2024),2024,,,,,
Marian Dietz and Stefano Tessaro: Fully Malicious Authenticated PIR. (2024),2024,,,,,
"Marina Checri et al.: On the Practical CPA<sup>D</sup> Security of ""exact"" and Threshold FHE Schemes and Libraries. (2024)",2024,,,,,
Marius A. Aardal et al.: Aggregating Falcon Signatures with LaBRADOR. (2024),2024,,,,,
Markku-Juhani O. Saarinen: Accelerating SLH-DSA by Two Orders of Magnitude with a Single Hash Unit. (2024),2024,,,,,
Marshall Ball et al.: Towards Permissionless Consensus in the Standard Model via Fine-Grained Complexity. (2024),2024,,,,,
Masayuki Abe et al.: CDS Composition of Multi-round Protocols. (2024),2024,,,,,
Mathias Hall-Andersen et al.: FRIDA: Data Availability Sampling from FRI. (2024),2024,,,,,
Matilda Backendal et al.: A Formal Treatment of End-to-End Encrypted Cloud Storage. (2024),2024,,,,,
Michele Ciampi et al.: Universal Composable Transaction Serialization with Order Fairness. (2024),2024,1,A comprehensive modeling of order fairness capitalizing on the universal composition (UC) setting,3,a,"1-BLK,6-BLK,CUR"
Michele Orrù et al.: Oblivious Issuance of Proofs. (2024),2024,1,"a provably secure construction of oblivious proofs, focusing on discrete-logarithm representation
equipped with AND-composition",2,a,CRY
Mihir Bellare and Viet Tung Hoang: Succinctly-Committing Authenticated Encryption. (2024),2024,,,,,
Mingqi Lu and Junzhao Yang: Memory-Sample Lower Bounds for LWE. (2024),2024,,,,,
