Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
Hanjun Li and Tianren Liu: How to Garble Mixed Circuits that Combine Boolean and Arithmetic Computations. (2024),2024,,,,,
Gianluca Brian et al.: From Random Probing to Noisy Leakages Without Field-Size Dependence. (2024),2024,2,"In this work, we give a generic transformation from ε-random probing to δ-average probing, with δ ≈ ε2, which avoids this loss of |F|",1,b,CRY
Gilad Asharov and Anirudh Chandramouli: Perfect (Parallel) Broadcast in Constant Expected Rounds via Statistical VSS. (2024),2024,1,This paper presents a perfectly secure broadcast protocol with expected constant rounds and communication complexity of O(nL) plus expected O(n3 log2 n) bits.,1,"a,b",CRY
Giovanni Deligios and Mose Mizrahi Erbes: Closing the Efficiency Gap Between Synchronous and Network-Agnostic Consensus. (2024),2024,1,"""In this work, we introduce a novel technique to compile any synchronous and any asynchronous consensus protocols into a network-agnostic one. This process only incurs a small constant number of overhead rounds, so that the compiled protocol matches the optimal round complexity for synchronous protocols. Our compiler also preserves under a variety of assumptions the asymptotic communication complexity of state-of-the-art synchronous and asynchronous protocols. Hence, it closes the current efficiency gap between synchronous and network-agnostic consensus.""",1,a,CRY
Paul Gerhart et al.: Foundations of Adaptor Signatures. (2024),2024,,,,,
Orr Dunkelman et al.: Partial Sums Meet FFT: Improved Attack on 6-Round AES. (2024),2024,2,"In this paper we show that the partial sums technique can be combined with an FFT-based technique, to get the best of the two worlds. Using our combined technique, we obtain an attack on 6-round AES with complexity of about 246.4 additions.",1,"a,b",CRY
"Gorjan Alagic et al.: Post-quantum Security of Tweakable Even-Mansour, and Applications. (2024)",2024,,,,,
Guilhem Mureau et al.: Cryptanalysis of Rank-2 Module-LIP in Totally Real Number Fields. (2024),2024,,,,,
Muhammed F. Esgin et al.: Plover: Masking-Friendly Hash-and-Sign Lattice Signatures. (2024),2024,,,,,
Paul Lou et al.: Witness Semantic Security. (2024),2024,,,,,
Hanlin Liu et al.: The Hardness of LPN over Any Integer Ring and Field for PCG Applications. (2024),2024,,,,,
Helger Lipmaa et al.: Constant-Size zk-SNARKs in ROM from Falsifiable Assumptions. (2024),2024,,,,,
Hemanta K. Maji et al.: Constructing Leakage-Resilient Shamir's Secret Sharing: Over Composite Order Fields. (2024),2024,1,This work investigates how to instantiate Shamir’s secret sharing so that the physical probes into its shares reveal statistically insignificant information about the secret.,3,a,"NIST,HWM"
Maya Farber Brodsky et al.: Monotone-Policy Aggregate Signatures. (2024),2024,,,,,
Hoeteck Wee and David J. Wu: Succinct Functional Commitments for Circuits from k-sfLin. (2024),2024,,,,,
Matthias Johann Steiner: The Complexity of Algebraic Algorithms for LWE. (2024),2024,,,,,
Martin R. Albrecht et al.: SLAP: Succinct Lattice-Based Polynomial Commitments from Standard Assumptions. (2024),2024,,,,,
Martin R. Albrecht et al.: Crypto Dark Matter on the Torus - Oblivious PRFs from Shallow PRFs and TFHE. (2024),2024,,,,,
Fabrice Benhamouda et al.: SPRINT: High-Throughput Robust Distributed Schnorr Signatures. (2024),2024,1," robust high-throughput threshold protocols for generating Schnorr signatures
in an asynchronous setting with potentially hundreds of parties. The protocols run a single
message-independent interactive ephemeral randomness generation procedure (i.e., DKG) followed by non-interactive signature generation for multiple messages, at a communication cost
similar to one execution of a synchronous non-robust protocol in prior work (e.g., Gennaro et
al.) and with a large number of parties (ranging from few tens to hundreds and more).",2,b,1-BLK
Dipayan Das and Antoine Joux: Key Recovery Attack on the Partial Vandermonde Knapsack Problem. (2024),2024,2,"In this paper, we propose an alternative attack on the PV Knapsack problem which provides key recovery for a much larger set of keys. Like the Crypto’22 attack, it is based on lattice reduction and uses a dimension reduction technique to speed-up the underlying lattice reduction algorithm and enhance its performance.",1,"a,b",CRY
Reo Eriguchi et al.: Efficient and Generic Methods to Achieve Active Security in Private Information Retrieval and More Advanced Database Search. (2024),2024,,,,,
Dung Bui et al.: Fast Public-Key Silent OT and More from Constrained Naor-Reingold. (2024),2024,,,,,
Renas Bacho et al.: Twinkle: Threshold Signatures from DDH with Full Adaptive Security. (2024),2024,,,,,
Rafaël Del Pino et al.: Threshold Raccoon: Practical Threshold Signatures from Standard Lattice Assumptions. (2024),2024,,,,,
Emanuele Giunta and Alistair Stewart: Unbiasable Verifiable Random Functions. (2024),2024,,,,,
Erkan Tairi and Akin Ünal: Lower Bounds for Lattice-Based Compact Functional Encryption. (2024),2024,,,,,
"Fabio Banfi et al.: Anamorphic Encryption, Revisited. (2024)",2024,1,"First, in their definition a double key can only be generated once, ... Second, a receiver cannot distinguish whether or not a ciphertext contains a covert message. In this work we propose a new model that overcomes these limitations",3,a,PGTS
