Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
Sönke Huster et al.: To Boldly Go Where No Fuzzer Has Gone Before: Finding Bugs in Linux' Wireless Stacks through VirtIO Devices. (2024),2024,3,X,X,X,
Hyungsub Kim et al.: A Systematic Study of Physical Sensor Attack Hardness. (2024),2024,3,X,X,X,
Soo-Jin Moon et al.: Pryde: A Modular Generalizable Workflow for Uncovering Evasion Attacks Against Stateful Firewall Deployments. (2024),2024,,,,,
Huming Qiu et al.: BELT: Old-School Backdoor Attacks can Evade the State-of-the-Art Defense with Backdoor Exclusivity Lifting. (2024),2024,,,,,
Penghui Li et al.: Holistic Concolic Execution for Dynamic Web Applications via Symbolic Interpreter Analysis. (2024),2024,3,x,x,x,
Stephan van Schaik et al.: SoK: SGX.Fail: How Stuff Gets eXposed. (2024),2024,,,,,
Huancheng Zhou and Guofei Gu: Cerberus: Enabling Efficient and Effective In-Network Monitoring on Programmable Switches. (2024),2024,,,,,
Sunpill Kim et al.: Scores Tell Everything about Bob: Non-adaptive Face Reconstruction on Face Recognition Systems. (2024),2024,3,X,X,X,
Sushant Dinesh et al.: ConjunCT: Learning Inductive Invariants to Prove Unbounded Instruction Safety Against Microarchitectural Timing Attacks. (2024),2024,,,,,
Hongwei Yao et al.: PromptCARE: Prompt Copyright Protection by Watermark Injection and Verification. (2024),2024,,,,,
Hongsheng Hu et al.: Learn What You Want to Unlearn: Unlearning Inversion Attacks against Machine Unlearning. (2024),2024,3,X,X,X,
Hongbin Liu et al.: Pre-trained Encoders in Self-Supervised Learning Improve Secure and Privacy-preserving Supervised Learning. (2024),2024,,,,,
Pengfei Jing et al.: Revisiting Automotive Attack Surfaces: a Practitioners' Perspective. (2024),2024,,,,,
Hojjat Aghakhani et al.: TrojanPuzzle: Covertly Poisoning Code-Suggestion Models. (2024),2024,,,,,
Hoang Dai Nguyen et al.: C-Frame: Characterizing and measuring in-the-wild CAPTCHA attacks. (2024),2024,3,X,X,X,
Shuo Wang et al.: LACMUS: Latent Concept Masking for General Robustness Enhancement of DNNs. (2024),2024,,,,,
Shuya Feng et al.: DPI: Ensuring Strict Differential Privacy for Infinite Data Streaming. (2024),2024,,,,,
Jannis Rautenstrauch et al.: To Auth or Not To Auth? A Comparative Analysis of the Pre- and Post-Login Security Landscape. (2024),2024,3,X,X,X,
Jannik Albrecht et al.: Larger-scale Nakamoto-style Blockchains Don't Necessarily Offer Better Security. (2024),2024,1,"""In this paper, we take a closer look at how the network scale affects security of Nakamoto-style blockchains.""",3,"a,b,c","1-BLK,BNK"
Jan Wichelmann et al.: Obelix: Mitigating Side-Channels Through Dynamic Obfuscation. (2024),2024,,,,,
Sifat Muhammad Abdullah et al.: An Analysis of Recent Advances in Deepfake Image Detection in an Evolving Threat Landscape. (2024),2024,3,X,X,X,
Marco Chilese et al.: One for All and All for One: GNN-based Control-Flow Attestation for Embedded Devices. (2024),2024,,,,,
Simon Jeanteur et al.: CryptoVampire: Automated Reasoning for the Complete Symbolic Attacker Cryptographic Model. (2024),2024,2,"CRYPTOVAMPIRE cryptographic protocol verifier, which for the first time fully automates proofs of trace properties in the BC Logic",1,a,CRY
Takayuki Sasaki et al.: Who Left the Door Open? Investigating the Causes of Exposed IoT Devices in an Academic Network. (2024),2024,,,,,
Jaehan Kim et al.: PassREfinder: Credential Stuffing Risk Prediction by Representing Password Reuse between Websites on a Graph. (2024),2024,,,,,
Jack West et al.: A Picture is Worth 500 Labels: A Case Study of Demographic Disparities in Local Machine Learning Models for Instagram and TikTok. (2024),2024,3,x,x,x,
Jack Doerner et al.: Threshold ECDSA in Three Rounds. (2024),2024,,,,,
Siyuan Cheng et al.: OdScan: Backdoor Scanning for Object Detection Models. (2024),2024,,,,,
Ivan Puddu et al.: On (the Lack of) Code Confidentiality in Trusted Execution Environments. (2024),2024,3,X,X,X,
Philipp Beer et al.: Tabbed Out: Subverting the Android Custom Tab Security Model. (2024),2024,,,,,
"Irina Ford et al.: ""Watching over the shoulder of a professional"": Why Hackers Make Mistakes and How They Fix Them. (2024)",2024,3,X,X,X,
Mati Ur Rehman et al.: Flash: A Comprehensive Approach to Intrusion Detection via Provenance Graph Representation Learning. (2024),2024,,,,,
Hang Wang et al.: MM-BD: Post-Training Detection of Backdoor Attacks with Arbitrary Backdoor Pattern Types Using a Maximum Margin Statistic. (2024),2024,,,,,
Tom Kessous and Niv Gilboa: Prune+PlumTree - Finding Eviction Sets at Scale. (2024),2024,,,,,
Han Liu et al.: Please Tell Me More: Privacy Impact of Explainability through the Lens of Membership Inference Attack. (2024),2024,,,,,
"Matan Ben-Tov et al.: CaFA: Cost-aware, Feasible Attacks With Database Constraints Against Neural Tabular Classifiers. (2024)",2024,,,,,
Vasisht Duddu et al.: SoK: Unintended Interactions among Machine Learning Defenses and Risks. (2024),2024,3,x,x,x,
Mathé Hertogh et al.: Leaky Address Masking: Exploiting Unmasked Spectre Gadgets with Noncanonical Address Translation. (2024),2024,,,,,
Hadi Givehchian et al.: Practical Obfuscation of BLE Physical-Layer Fingerprints on Mobile Devices. (2024),2024,3,X,X,X,
Wei Liu et al.: The Dark Side of Scale: Insecurity of Direct-to-Cell Satellite Mega-Constellations. (2024),2024,,,,,
Hangtian Liu et al.: Labrador: Response Guided Directed Fuzzing for Black-box IoT Devices. (2024),2024,3,X,X,X,
Weihao Bai et al.: MPC-in-the-Head Framework without Repetition and its Applications to the Lattice-based Cryptography. (2024),2024,,,,,
Guanhong Tao et al.: Distribution Preserving Backdoor Attack in Self-supervised Learning. (2024),2024,,,,,
Weiteng Chen et al.: SyzGen++: Dependency Inference for Augmenting Kernel Driver Fuzzing. (2024),2024,,,,,
Wenhao Zhang et al.: Efficient Actively Secure DPF and RAM-based 2PC with One-Bit Leakage. (2024),2024,,,,,
Patrick Tser Jern Kon et al.: NetShuffle: Circumventing Censorship with Shuffle Proxies at the Edge. (2024),2024,,,,,
Fritz Alder et al.: Pandora: Principled Symbolic Validation of Intel SGX Enclave Runtimes. (2024),2024,,,,,
Franziska Herbert et al.: Digital Security - A Question of Perspective A Large-Scale Telephone Survey with Four At-Risk User Groups. (2024),2024,,,,,
Floris Gorter et al.: Sticky Tags: Efficient and Deterministic Spatial Memory Error Mitigation using Persistent Memory Tags. (2024),2024,,,,,
Tianyi Liu et al.: Pianist: Scalable zkRollups via Fully Distributed Zero-Knowledge Proofs. (2024),2024,,,,,
Martin R. Albrecht et al.: Device-Oriented Group Messaging: A Formal Cryptographic Analysis of Matrix' Core. (2024),2024,2,formal cryptanalysis of the protocol underlying Matrix,4,a,"MSG,GVE,AUT"
Heqing Huang et al.: Titan : Efficient Multi-target Directed Greybox Fuzzing. (2024),2024,,,,,
Heqing Huang et al.: Everything is Good for Something: Counterexample-Guided Directed Fuzzing via Likely Invariant Inference. (2024),2024,,,,,
"Taylor R. Schorlemmer et al.: Signing in Four Public Software Package Registries: Quantity, Quality, and Influencing Factors. (2024)",2024,,,,,
Henri Devillez et al.: Can we cast a ballot as intended and be receipt free? (2024),2024,,,,,
Tianshuo Cong et al.: Test-Time Poisoning Attacks Against Test-Time Adaptation Models. (2024),2024,,,,,
Tiantian Gong et al.: More is Merrier: Relax the Non-Collusion Assumption in Multi-Server PIR. (2024),2024,1,"a collusion mitigation mechanism on a public bulletin board with payment execution functions, considering only rational and malicious parties with no honest non-colluding servers.",2,a,"ML,1-BLK,DAD"
Jean Paul Degabriele et al.: SoK: Efficient Design and Implementation of Polynomial Hash Functions over Prime Fields. (2024),2024,1,"a body of knowledge concerning polynomial hash design and implementation that is spread across research papers, cryptographic libraries, and developers’ blogs. We develop a framework to automate the validation and benchmarking of the ideas that we collect. This approach leads us to five new candidate designs for polynomial hash functions. Using our framework, we generate and evaluate different implementations and optimization strategies for each candidate.",3,"a,b",CRY
Peng Cheng et al.: ALIF: Low-Cost Adversarial Audio Attacks on Black-Box Speech Platforms using Linguistic Features. (2024),2024,3,X,X,X,
Peizhuo Lv et al.: MEA-Defender: A Robust Watermark against Model Extraction Attack. (2024),2024,,,,,
Haodi Wang et al.: Transferable Multimodal Attack on Vision-Language Pre-training Models. (2024),2024,,,,,
Tillson Galloway et al.: Practical Attacks Against DNS Reputation Systems. (2024),2024,,,,,
Tim Kutta et al.: Lower Bounds for Rényi Differential Privacy in a Black-Box Setting. (2024),2024,,,,,
Hans Winderix et al.: Architectural Mimicry: Innovative Instructions to Efficiently Address Control-Flow Leakage in Data-Oblivious Programs. (2024),2024,,,,,
Hans W. A. Hanley et al.: Specious Sites: Tracking the Spread and Sway of Spurious News Stories at Scale. (2024),2024,3,X,X,X,
Lucjan Hanzlik et al.: Sweep-UC: Swapping Coins Privately. (2024),2024,1,"Sweep-UC1, the first fair exchange protocol that simultaneously is efficient, minimizes scripting, and is compatible with a wide range of currencies (more than the state of the art).",3,a,6-BLK
