title,app_awareness,entropy,crypto,security,news,policy_gov,technical_doc,other,source_code,vendor_doc,industry_blog,systems,economics,IoT_networks
A PCP Theorem for Interactive Proofs and Applications.,1,1.5676809261625126,0.5849056603773585,0.03773584905660377,0.0,0.018867924528301886,0.0,0.2641509433962264,0.0,0.0,0.0,0.0,0.0,0.09433962264150944
M-SIDH and MD-SIDH: Countering SIDH Attacks by Masking Information.,3,0.5934003486044382,0.8888888888888888,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.027777777777777776
Closing the Efficiency Gap Between Synchronous and Network-Agnostic Consensus.,1,1.962375782385723,0.4146341463414634,0.04878048780487805,0.0,0.0975609756097561,0.0,0.3170731707317073,0.0,0.0,0.0,0.12195121951219512,0.0,0.0
Partial Sums Meet FFT: Improved Attack on 6-Round AES.,1,0.7310644431995964,0.875,0.0,0.0,0.03125,0.0,0.0625,0.03125,0.0,0.0,0.0,0.0,0.0
"Endemic Oblivious Transfer via Random Oracles, Revisited.",1,1.0648690777888155,0.7804878048780488,0.0975609756097561,0.0,0.0,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.024390243902439025
Approximate Divisor Multiples - Factoring with Only a Third of the Secret CRT-Exponents.,1,0.9219280948873623,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1
Just How Hard Are Rotations of ? Algorithms and Cryptography with the Simplest Lattice.,1,1.9317247109188138,0.5476190476190477,0.023809523809523808,0.0,0.023809523809523808,0.0,0.16666666666666666,0.047619047619047616,0.0,0.023809523809523808,0.0,0.0,0.16666666666666666
On the Multi-user Security of Short Schnorr Signatures with Preprocessing.,2,0.6143694458867568,0.8888888888888888,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unique-Path Identity Based Encryption with Applications to Strongly Secure Messaging.,2,0.2761954276479391,0.9523809523809523,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulletproofs++: Next Generation Confidential Transactions via Reciprocal Set Membership Arguments.,3,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubato: Noisy Ciphers for Approximate Homomorphic Encryption.,3,1.1595783042620842,0.7666666666666667,0.05,0.0,0.0,0.0,0.13333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.03333333333333333
Worst-Case Subexponential Attacks on PRGs of Constant Degree or Constant Locality.,1,1.4116877593742698,0.6590909090909091,0.0,0.0,0.045454545454545456,0.0,0.22727272727272727,0.022727272727272728,0.0,0.0,0.0,0.0,0.045454545454545456
