title,app_awareness,entropy,crypto,security,news,policy_gov,technical_doc,other,source_code,vendor_doc,industry_blog,systems,economics,IoT_networks
Bicoptor: Two-round Secure Three-party Non-linear Computation without Preprocessing for Privacy-preserving Machine Learning.,2,1.8383685150260665,0.045454545454545456,0.5,0.0,0.0,0.0,0.22727272727272727,0.18181818181818182,0.0,0.0,0.0,0.0,0.045454545454545456
Public Verification for Private Hash Matching.,4,1.9797142327023756,0.27419354838709675,0.3064516129032258,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.3064516129032258
Waldo: A Private Time-Series Database from Function Secret Sharing.,3,2.5923014658960675,0.23469387755102042,0.35714285714285715,0.04081632653061224,0.01020408163265306,0.0,0.16326530612244897,0.030612244897959183,0.061224489795918366,0.030612244897959183,0.02040816326530612,0.0,0.05102040816326531
Efficient Zero-Knowledge Arguments For Paillier Cryptosystem.,4,2.00054577669887,0.43333333333333335,0.23333333333333334,0.0,0.05555555555555555,0.011111111111111112,0.23333333333333334,0.011111111111111112,0.0,0.0,0.0,0.0,0.022222222222222223
Device-Oriented Group Messaging: A Formal Cryptographic Analysis of Matrix' Core.,4,2.1812538534565253,0.4576271186440678,0.2711864406779661,0.0,0.06779661016949153,0.01694915254237288,0.06779661016949153,0.01694915254237288,0.0,0.03389830508474576,0.0,0.0,0.06779661016949153
Synq: Public Policy Analytics Over Encrypted Data.,4,2.57788364593643,0.2127659574468085,0.2553191489361702,0.02127659574468085,0.06382978723404255,0.02127659574468085,0.23404255319148937,0.05319148936170213,0.0,0.0,0.0,0.0,0.13829787234042554
Optimal Flexible Consensus and its Application to Ethereum.,3,2.3873467764325875,0.4166666666666667,0.15476190476190477,0.011904761904761904,0.0,0.0,0.11904761904761904,0.023809523809523808,0.0,0.07142857142857142,0.16666666666666666,0.0,0.03571428571428571
A Theory to Instruct Differentially-Private Learning via Clipping Bias Reduction.,3,1.4571423251695228,0.39655172413793105,0.034482758620689655,0.0,0.034482758620689655,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.017241379310344827
Not Yet Another Digital ID: Privacy-Preserving Humanitarian Aid Distribution.,4,2.6474066936981675,0.14,0.28,0.04,0.06,0.02,0.3,0.04,0.0,0.06,0.0,0.0,0.06
Multi-Stage Group Key Distribution and PAKEs: Securing Zoom Groups against Malicious Servers without New Security Elements.,3,1.6321690091658687,0.6666666666666666,0.15384615384615385,0.02564102564102564,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.02564102564102564
BlindHub: Bitcoin-Compatible Privacy-Preserving Payment Channel Hubs Supporting Variable Amounts.,3,1.503570746507057,0.6271186440677966,0.22033898305084745,0.0,0.0,0.0,0.1016949152542373,0.0,0.0,0.01694915254237288,0.0,0.0,0.03389830508474576
Nebula: A Privacy-First Platform for Data Backhaul.,4,2.4732696895151087,0.08,0.24,0.02666666666666667,0.013333333333333334,0.013333333333333334,0.24,0.02666666666666667,0.0,0.013333333333333334,0.02666666666666667,0.0,0.32
